   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:99(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       41    0.002    0.000    0.935    0.023 __init__.py:1(<module>)
        3    0.000    0.000    0.038    0.013 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
        1    0.000    0.000    0.039    0.039 __init__.py:100(<module>)
        1    0.000    0.000    0.125    0.125 __init__.py:101(<module>)
       22    0.006    0.000    0.017    0.001 __init__.py:1010(_rc_params_in_file)
       21    0.000    0.000    0.000    0.000 __init__.py:102(_update_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1050(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(__init__)
        1    0.000    0.000    0.155    0.155 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(PlaceHolder)
        1    0.000    0.000    0.049    0.049 __init__.py:108(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1080(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1086(append)
       22    0.000    0.000    0.020    0.001 __init__.py:1086(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:109(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1106(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:113(get_projection_names)
        3    0.000    0.000    0.000    0.000 __init__.py:1132(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1149(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:1183(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        2    0.000    0.000    0.540    0.270 __init__.py:12(<module>)
